,,,,,,
DISTRITOS - CONCELHOS - FREGUESIAS - LUGARES - ORAGOS ,,,,,,
Produzido por Genealogiafb.blogspot.pt,,,,,,
,,,,,,
Distrito,Concelho,Freguesia,Lugares (Census 2011),Orago da Freguesia,Notas sobre a Freguesia,
Aveiro,Águeda,Borralha,Catraia de Assequins,Nossa Senhora de La Salette,,
Aveiro,Águeda,Borralha,Horta Velha,Nossa Senhora de La Salette,,
Aveiro,Águeda,Borralha,Machuqueira,Nossa Senhora de La Salette,,
Aveiro,Águeda,Borralha,Redolho,Nossa Senhora de La Salette,,
Aveiro,Águeda,Borralha,S.Tiago,Nossa Senhora de La Salette,,
Aveiro,Águeda,Castanheira do Vouga,Avelal de Baixo,São Mamede,,
Aveiro,Águeda,Castanheira do Vouga,Castanheira do Vouga,São Mamede,,
Aveiro,Águeda,Castanheira do Vouga,Falgorosa,São Mamede,,
Aveiro,Águeda,Castanheira do Vouga,Falgoselhe,São Mamede,,
Aveiro,Águeda,Castanheira do Vouga,Igreja,São Mamede,,
Aveiro,Águeda,Castanheira do Vouga,Massadas,São Mamede,,
Aveiro,Águeda,Castanheira do Vouga,Redonda,São Mamede,,
Aveiro,Águeda,Castanheira do Vouga,Vale da Galega,São Mamede,,
Aveiro,Águeda,Espinhel,Cabanões,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Casainho de Baixo,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Casal do Álvaro,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Espinhel,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Fermentelos,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Óis da Ribeira,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Oronhe,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Paradela,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Piedade,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Póvoa da Carvalha,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Quinta do Pinheiro,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Raso de Oronhe,Nossa Senhora da Assunção,,
Aveiro,Águeda,Espinhel,Santa Eufémia,Nossa Senhora da Assunção,,
Aveiro,Águeda,Fermentelos,Fermentelos,Santo André,,
Aveiro,Águeda,Lamas do Vouga,Lamas do Vouga,Nossa Senhora da Assunção,,
Aveiro,Águeda,Lamas do Vouga,Pedaçães,Nossa Senhora da Assunção,,
Aveiro,Águeda,Macieira de Alcoba,Carvalho,São Martinho,,
Aveiro,Águeda,Macieira de Alcoba,Macieira de Alcôba,São Martinho,,
Aveiro,Águeda,Macinhata do Vouga,Alombada,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Beco,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Carvalhal,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Carvoeiro,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Cavadas,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Cavadas de Baixo,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Cavadas de Cima,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Chãs,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Cova,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Jafafe de Baixo,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Jafafe de Cima,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Lamas do Vouga,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Lameiro,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Macinhata do Vouga,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Mesa,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Moita,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Pontilhão,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Póvoa,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Serém,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Serém de Baixo,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Serém de Cima,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Sernada do Vouga,São Cristóvão,,
Aveiro,Águeda,Macinhata do Vouga,Soutelo,São Cristóvão,,
Aveiro,Águeda,Óis da Ribeira,Óis da Ribeira,Santo Adrião,,
Aveiro,Águeda,Préstimo,A-dos- Ferreiros de Baixo,São Tiago,,
Aveiro,Águeda,Préstimo,A-dos-Ferreiros-de-Cima,São Tiago,,
Aveiro,Águeda,Préstimo,Cabeça do Cão,São Tiago,,
Aveiro,Águeda,Préstimo,Cambra,São Tiago,,
Aveiro,Águeda,Préstimo,Casal,São Tiago,,
Aveiro,Águeda,Préstimo,Junqueiro,São Tiago,,
Aveiro,Águeda,Préstimo,Lourizela,São Tiago,,
Aveiro,Águeda,Préstimo,Pousadas,São Tiago,,
Aveiro,Águeda,Préstimo,Préstimo,São Tiago,,
Aveiro,Águeda,Préstimo,Salgueiro,São Tiago,,
Aveiro,Águeda,Préstimo,Ventoso,São Tiago,,
Aveiro,Águeda,Recardães,Além da Ponte,São Miguel,,
Aveiro,Águeda,Recardães,Brejo,São Miguel,,
Aveiro,Águeda,Recardães,Casainho,São Miguel,,
